Mar  5 12:57:50 ci010 kernel: 48561 | 0 48561 | 0 0 0 | 0 0
Mar  5 12:57:52 ci010 last message repeated 3 times
Mar  5 12:57:52 ci010 kernel: 48738 | 0 48561 | 0 0 0 | 0 0
Mar  5 12:57:53 ci010 kernel: 527438 | 0 48562 | 0 0 0 | 0 0
Mar  5 12:57:54 ci010 kernel: 48561 | 0 48561 | 0 0 0 | 0 0
Mar  5 12:57:54 ci010 kernel: 48611 | 0 48611 | 0 0 0 | 0 0
Mar  5 12:57:55 ci010 kernel: 440514 | 0 48562 | 0 0 0 | 0 0
Mar  5 12:57:55 ci010 kernel: 48565 | 0 48563 | 0 0 0 | 0 0
Mar  5 12:57:56 ci010 kernel: 48546 | 0 48546 | 0 0 0 | 0 0
Mar  5 12:57:56 ci010 kernel: 48549 | 0 48549 | 0 0 0 | 0 0
Mar  5 12:57:57 ci010 kernel: 48910 | 0 48430 | 0 111 0 | 0 0
Mar  5 12:57:57 ci010 kernel: 48431 | 0 48431 | 0 0 0 | 0 0
Mar  5 12:57:58 ci010 kernel: 48430 | 0 48430 | 0 0 0 | 0 0
Mar  5 12:57:58 ci010 kernel: 968814 | 6 1616 | 0 0 0 | 0 0
Mar  5 12:57:59 ci010 kernel: 48914 | 29 48396 | 0 6 0 | 0 0
Mar  5 12:58:00 ci010 kernel: 537123 | 68 48248 | 0 29 0 | 0 0
Mar  5 12:58:00 ci010 kernel: 583991 | 0 48322 | 0 68 0 | 0 0
Mar  5 12:58:01 ci010 kernel: 48369 | 0 48321 | 0 0 0 | 0 0
Mar  5 12:58:01 ci010 kernel: 968711 | 0 42354 | 0 0 0 | 0 0
Mar  5 12:58:02 ci010 kernel: 48321 | 0 48321 | 0 0 0 | 0 0
Mar  5 12:58:02 ci010 kernel: 48322 | 0 48322 | 0 0 0 | 0 0
Mar  5 12:58:03 ci010 kernel: 48322 | 0 48322 | 0 0 0 | 0 0
Mar  5 12:58:03 ci010 kernel: 48323 | 0 48322 | 0 0 0 | 0 0
Mar  5 12:58:04 ci010 kernel: 48363 | 0 48363 | 0 0 0 | 0 0
Mar  5 12:58:04 ci010 kernel: 486072 | 0 48363 | 0 0 0 | 0 0
Mar  5 12:58:05 ci010 kernel: 48322 | 0 48322 | 0 0 0 | 0 0
Mar  5 12:58:05 ci010 kernel: 48302 | 0 48302 | 0 0 0 | 0 0
Mar  5 12:58:06 ci010 kernel: 477288 | 0 48305 | 0 0 0 | 0 0
Mar  5 12:58:06 ci010 kernel: 48306 | 0 48304 | 0 0 0 | 0 0
Mar  5 12:58:07 ci010 kernel: 48302 | 0 48302 | 0 0 0 | 0 0
Mar  5 12:58:08 ci010 kernel: 48301 | 0 48301 | 0 0 0 | 0 0
Mar  5 12:58:08 ci010 kernel: 48304 | 0 48302 | 0 0 0 | 0 0
Mar  5 12:58:09 ci010 kernel: 48301 | 0 48301 | 0 0 0 | 0 0
Mar  5 12:58:09 ci010 kernel: 48364 | 0 48364 | 0 0 0 | 0 0
Mar  5 12:58:10 ci010 kernel: 968711 | 1 6502 | 0 0 0 | 0 0
Mar  5 12:58:10 ci010 kernel: 48299 | 10 48288 | 0 1 0 | 0 0
Mar  5 12:58:11 ci010 kernel: 573993 | 23 48238 | 0 10 0 | 0 0
Mar  5 12:58:11 ci010 kernel: 586302 | 0 48280 | 0 23 0 | 0 0
Mar  5 12:58:12 ci010 kernel: 48327 | 0 48279 | 0 0 0 | 0 0
Mar  5 12:58:13 ci010 kernel: 968677 | 0 1828 | 0 0 0 | 0 0
Mar  5 12:58:13 ci010 kernel: 48280 | 0 48280 | 0 0 0 | 0 0
Mar  5 12:58:14 ci010 kernel: 48279 | 0 48279 | 0 0 0 | 0 0
Mar  5 12:58:14 ci010 kernel: 48332 | 0 48332 | 0 0 0 | 0 0
Mar  5 12:58:15 ci010 kernel: 48330 | 1 48329 | 0 0 0 | 0 0
Mar  5 12:58:15 ci010 kernel: 48281 | 0 48280 | 0 1 0 | 0 0
Mar  5 12:58:16 ci010 kernel: 489470 | 1 48259 | 0 0 0 | 0 0
Mar  5 12:58:16 ci010 kernel: 48265 | 0 48264 | 0 1 0 | 0 0
Mar  5 12:58:17 ci010 kernel: 48263 | 0 48263 | 0 0 0 | 0 0
Mar  5 12:58:17 ci010 kernel: 436476 | 0 48264 | 0 0 0 | 0 0
Mar  5 12:58:18 ci010 kernel: 48264 | 0 48263 | 0 0 0 | 0 0
Mar  5 12:58:18 ci010 kernel: 48264 | 0 48264 | 0 0 0 | 0 0
Mar  5 12:58:19 ci010 kernel: 48329 | 0 48329 | 0 0 0 | 0 0
Mar  5 12:58:19 ci010 kernel: 48331 | 0 48329 | 0 0 0 | 0 0
Mar  5 12:58:20 ci010 kernel: 48283 | 0 48283 | 0 0 0 | 0 0
Mar  5 12:58:20 ci010 kernel: 48284 | 0 48284 | 0 0 0 | 0 0
Mar  5 12:58:21 ci010 kernel: 968675 | 0 42868 | 0 0 0 | 0 0
Mar  5 12:58:22 ci010 kernel: 48284 | 0 48284 | 0 0 0 | 0 0
Mar  5 12:58:22 ci010 kernel: 533045 | 0 48285 | 0 0 0 | 0 0
Mar  5 12:58:23 ci010 kernel: 622281 | 0 48284 | 0 0 0 | 0 0
Mar  5 12:58:23 ci010 kernel: 50155 | 0 48093 | 0 186 0 | 0 0
Mar  5 12:58:24 ci010 kernel: 968490 | 0 8469 | 0 0 0 | 0 0
Mar  5 12:58:24 ci010 kernel: 48255 | 0 48255 | 0 0 0 | 0 0
Mar  5 12:58:25 ci010 kernel: 48092 | 0 48092 | 0 0 0 | 0 0
Mar  5 12:58:25 ci010 kernel: 48069 | 0 48069 | 0 0 0 | 0 0
Mar  5 12:58:26 ci010 kernel: 48072 | 0 48072 | 0 0 0 | 0 0
Mar  5 12:58:26 ci010 kernel: 48071 | 0 48071 | 0 0 0 | 0 0
Mar  5 12:58:27 ci010 kernel: 531988 | 0 48072 | 0 0 0 | 0 0
Mar  5 12:58:28 ci010 kernel: 48071 | 0 48071 | 0 0 0 | 0 0
Mar  5 12:58:28 ci010 kernel: 54713 | 0 48072 | 0 0 0 | 0 0
Mar  5 12:58:29 ci010 kernel: 428562 | 0 48071 | 0 0 0 | 0 0
Mar  5 12:58:29 ci010 kernel: 48143 | 0 48142 | 0 0 0 | 0 0
Mar  5 12:58:30 ci010 kernel: 48142 | 0 48142 | 0 0 0 | 0 0
Mar  5 12:58:30 ci010 kernel: 48092 | 0 48092 | 0 0 0 | 0 0
Mar  5 12:58:31 ci010 kernel: 48093 | 0 48091 | 0 0 0 | 0 0
Mar  5 12:58:31 ci010 kernel: 48092 | 0 48092 | 0 0 0 | 0 0
Mar  5 12:58:32 ci010 kernel: 48091 | 0 48091 | 0 0 0 | 0 0
Mar  5 12:58:33 ci010 kernel: 968490 | 0 2807 | 0 0 0 | 0 0
Mar  5 12:58:33 ci010 kernel: 54551 | 0 48092 | 0 0 0 | 0 0
