Mar  5 12:54:12 ci010 kernel: 376615 | 0 47894 | 0 0 0 | 0 0
Mar  5 12:54:13 ci010 kernel: 872284 | 0 47717 | 0 0 0 | 0 0
Mar  5 12:54:13 ci010 kernel: 968295 | 0 408 | 0 0 0 | 0 0
Mar  5 12:54:14 ci010 kernel: 143483 | 1 47714 | 0 0 0 | 0 0
Mar  5 12:54:14 ci010 kernel: 47696 | 0 47695 | 1 0 0 | 0 0
Mar  5 12:54:15 ci010 kernel: 626004 | 3 47689 | 0 0 0 | 0 0
Mar  5 12:54:16 ci010 kernel: 47697 | 0 47694 | 0 3 0 | 0 0
Mar  5 12:54:16 ci010 kernel: 47695 | 0 47695 | 0 0 0 | 0 0
Mar  5 12:54:17 ci010 kernel: 281299 | 0 47694 | 0 0 0 | 0 0
Mar  5 12:54:17 ci010 kernel: 47755 | 0 47755 | 0 0 0 | 0 0
Mar  5 12:54:18 ci010 kernel: 47755 | 0 47755 | 0 0 0 | 0 0
Mar  5 12:54:18 ci010 kernel: 47707 | 0 47707 | 0 0 0 | 0 0
Mar  5 12:54:19 ci010 kernel: 53406 | 0 47707 | 0 0 0 | 0 0
Mar  5 12:54:19 ci010 kernel: 47708 | 0 47708 | 0 0 0 | 0 0
Mar  5 12:54:20 ci010 kernel: 47707 | 0 47707 | 0 0 0 | 0 0
Mar  5 12:54:20 ci010 kernel: 47727 | 0 47708 | 0 0 0 | 0 0
Mar  5 12:54:21 ci010 kernel: 47708 | 0 47708 | 0 0 0 | 0 0
Mar  5 12:54:21 ci010 kernel: 95418 | 0 47709 | 0 0 0 | 0 0
Mar  5 12:54:22 ci010 kernel: 47756 | 0 47756 | 0 0 0 | 0 0
Mar  5 12:54:23 ci010 kernel: 233271 | 0 47757 | 0 0 0 | 0 0
Mar  5 12:54:23 ci010 kernel: 626349 | 0 47711 | 0 0 0 | 0 0
Mar  5 12:54:24 ci010 kernel: 376448 | 0 47712 | 0 0 0 | 0 0
Mar  5 12:54:24 ci010 kernel: 859021 | 0 47712 | 0 0 0 | 0 0
Mar  5 12:54:25 ci010 kernel: 968293 | 0 13395 | 0 0 0 | 0 0
Mar  5 12:54:25 ci010 kernel: 143321 | 0 47696 | 0 0 0 | 0 0
Mar  5 12:54:26 ci010 kernel: 47696 | 0 47695 | 0 0 0 | 0 0
Mar  5 12:54:26 ci010 kernel: 639417 | 8 47672 | 0 0 0 | 0 0
Mar  5 12:54:27 ci010 kernel: 47759 | 0 47751 | 0 8 0 | 0 0
Mar  5 12:54:27 ci010 kernel: 47751 | 0 47751 | 0 0 0 | 0 0
Mar  5 12:54:28 ci010 kernel: 280736 | 0 47700 | 0 0 0 | 0 0
Mar  5 12:54:29 ci010 kernel: 47701 | 0 47701 | 0 0 0 | 0 0
Mar  5 12:54:30 ci010 last message repeated 2 times
Mar  5 12:54:30 ci010 kernel: 66789 | 0 47700 | 0 0 0 | 0 0
Mar  5 12:54:31 ci010 kernel: 47701 | 0 47701 | 0 0 0 | 0 0
